
   points before matrix: ((-12800.0, -6400.0, 0), (-12800.0, -4800.0, 0), (-11200.0, -4800.0, 0), (-11200.0, -6400.0, 0))
   points after matrix: ((-4800.0, 1600.0, 0.0), (-4800.0, 3200.0, 0.0), (-3200.0, 3200.0, 0.0), (-3200.0, 1600.0, 0.0))

   points before matrix: ((-12800.0, -4800.0, 0), (-12800.0, -3200.0, 0), (-11200.0, -3200.0, 0), (-11200.0, -4800.0, 0))
   points after matrix: ((-4800.0, 3200.0, 0.0), (-4800.0, 4800.0, 0.0), (-3200.0, 4800.0, 0.0), (-3200.0, 3200.0, 0.0))

   points before matrix: ((-12800.0, -3200.0, 0), (-12800.0, -1600.0, 0), (-11200.0, -1600.0, 0), (-11200.0, -3200.0, 0))
   points after matrix: ((-4800.0, 4800.0, 0.0), (-4800.0, 6400.0, 0.0), (-3200.0, 6400.0, 0.0), (-3200.0, 4800.0, 0.0))

   points before matrix: ((-12800.0, -1600.0, 0), (-12800.0, 0.0, 0), (-11200.0, 0.0, 0), (-11200.0, -1600.0, 0))
   points after matrix: ((-4800.0, 6400.0, 0.0), (-4800.0, 8000.0, 0.0), (-3200.0, 8000.0, 0.0), (-3200.0, 6400.0, 0.0))

   points before matrix: ((-11200.0, -16000.0, 0), (-11200.0, -14400.0, 0), (-9600.0, -14400.0, 0), (-9600.0, -16000.0, 0))
   points after matrix: ((-3200.0, -8000.0, 0.0), (-3200.0, -6400.0, 0.0), (-1600.0, -6400.0, 0.0), (-1600.0, -8000.0, 0.0))

   points before matrix: ((-11200.0, -14400.0, 0), (-11200.0, -12800.0, 0), (-9600.0, -12800.0, 0), (-9600.0, -14400.0, 0))
   points after matrix: ((-3200.0, -6400.0, 0.0), (-3200.0, -4800.0, 0.0), (-1600.0, -4800.0, 0.0), (-1600.0, -6400.0, 0.0))

   points before matrix: ((-11200.0, -12800.0, 0), (-11200.0, -11200.0, 0), (-9600.0, -11200.0, 0), (-9600.0, -12800.0, 0))
   points after matrix: ((-3200.0, -4800.0, 0.0), (-3200.0, -3200.0, 0.0), (-1600.0, -3200.0, 0.0), (-1600.0, -4800.0, 0.0))

   points before matrix: ((-11200.0, -11200.0, 0), (-11200.0, -9600.0, 0), (-9600.0, -9600.0, 0), (-9600.0, -11200.0, 0))
   points after matrix: ((-3200.0, -3200.0, 0.0), (-3200.0, -1600.0, 0.0), (-1600.0, -1600.0, 0.0), (-1600.0, -3200.0, 0.0))

   points before matrix: ((-11200.0, -9600.0, 0), (-11200.0, -8000.0, 0), (-9600.0, -8000.0, 0), (-9600.0, -9600.0, 0))
   points after matrix: ((-3200.0, -1600.0, 0.0), (-3200.0, 0.0, 0.0), (-1600.0, 0.0, 0.0), (-1600.0, -1600.0, 0.0))

   points before matrix: ((-11200.0, -8000.0, 0), (-11200.0, -6400.0, 0), (-9600.0, -6400.0, 0), (-9600.0, -8000.0, 0))
   points after matrix: ((-3200.0, 0.0, 0.0), (-3200.0, 1600.0, 0.0), (-1600.0, 1600.0, 0.0), (-1600.0, 0.0, 0.0))

   points before matrix: ((-11200.0, -6400.0, 0), (-11200.0, -4800.0, 0), (-9600.0, -4800.0, 0), (-9600.0, -6400.0, 0))
   points after matrix: ((-3200.0, 1600.0, 0.0), (-3200.0, 3200.0, 0.0), (-1600.0, 3200.0, 0.0), (-1600.0, 1600.0, 0.0))

   points before matrix: ((-11200.0, -4800.0, 0), (-11200.0, -3200.0, 0), (-9600.0, -3200.0, 0), (-9600.0, -4800.0, 0))
   points after matrix: ((-3200.0, 3200.0, 0.0), (-3200.0, 4800.0, 0.0), (-1600.0, 4800.0, 0.0), (-1600.0, 3200.0, 0.0))

   points before matrix: ((-11200.0, -3200.0, 0), (-11200.0, -1600.0, 0), (-9600.0, -1600.0, 0), (-9600.0, -3200.0, 0))
   points after matrix: ((-3200.0, 4800.0, 0.0), (-3200.0, 6400.0, 0.0), (-1600.0, 6400.0, 0.0), (-1600.0, 4800.0, 0.0))

   points before matrix: ((-11200.0, -1600.0, 0), (-11200.0, 0.0, 0), (-9600.0, 0.0, 0), (-9600.0, -1600.0, 0))
   points after matrix: ((-3200.0, 6400.0, 0.0), (-3200.0, 8000.0, 0.0), (-1600.0, 8000.0, 0.0), (-1600.0, 6400.0, 0.0))

   points before matrix: ((-9600.0, -16000.0, 0), (-9600.0, -14400.0, 0), (-8000.0, -14400.0, 0), (-8000.0, -16000.0, 0))
   points after matrix: ((-1600.0, -8000.0, 0.0), (-1600.0, -6400.0, 0.0), (0.0, -6400.0, 0.0), (0.0, -8000.0, 0.0))

   points before matrix: ((-9600.0, -14400.0, 0), (-9600.0, -12800.0, 0), (-8000.0, -12800.0, 0), (-8000.0, -14400.0, 0))
   points after matrix: ((-1600.0, -6400.0, 0.0), (-1600.0, -4800.0, 0.0), (0.0, -4800.0, 0.0), (0.0, -6400.0, 0.0))

   points before matrix: ((-9600.0, -12800.0, 0), (-9600.0, -11200.0, 0), (-8000.0, -11200.0, 0), (-8000.0, -12800.0, 0))
   points after matrix: ((-1600.0, -4800.0, 0.0), (-1600.0, -3200.0, 0.0), (0.0, -3200.0, 0.0), (0.0, -4800.0, 0.0))

   points before matrix: ((-9600.0, -11200.0, 0), (-9600.0, -9600.0, 0), (-8000.0, -9600.0, 0), (-8000.0, -11200.0, 0))
   points after matrix: ((-1600.0, -3200.0, 0.0), (-1600.0, -1600.0, 0.0), (0.0, -1600.0, 0.0), (0.0, -3200.0, 0.0))

   points before matrix: ((-9600.0, -9600.0, 0), (-9600.0, -8000.0, 0), (-8000.0, -8000.0, 0), (-8000.0, -9600.0, 0))
   points after matrix: ((-1600.0, -1600.0, 0.0), (-1600.0, 0.0, 0.0), (0.0, 0.0, 0.0), (0.0, -1600.0, 0.0))

   points before matrix: ((-9600.0, -8000.0, 0), (-9600.0, -6400.0, 0), (-8000.0, -6400.0, 0), (-8000.0, -8000.0, 0))
   points after matrix: ((-1600.0, 0.0, 0.0), (-1600.0, 1600.0, 0.0), (0.0, 1600.0, 0.0), (0.0, 0.0, 0.0))

   points before matrix: ((-9600.0, -6400.0, 0), (-9600.0, -4800.0, 0), (-8000.0, -4800.0, 0), (-8000.0, -6400.0, 0))
   points after matrix: ((-1600.0, 1600.0, 0.0), (-1600.0, 3200.0, 0.0), (0.0, 3200.0, 0.0), (0.0, 1600.0, 0.0))

   points before matrix: ((-9600.0, -4800.0, 0), (-9600.0, -3200.0, 0), (-8000.0, -3200.0, 0), (-8000.0, -4800.0, 0))
   points after matrix: ((-1600.0, 3200.0, 0.0), (-1600.0, 4800.0, 0.0), (0.0, 4800.0, 0.0), (0.0, 3200.0, 0.0))

   points before matrix: ((-9600.0, -3200.0, 0), (-9600.0, -1600.0, 0), (-8000.0, -1600.0, 0), (-8000.0, -3200.0, 0))
   points after matrix: ((-1600.0, 4800.0, 0.0), (-1600.0, 6400.0, 0.0), (0.0, 6400.0, 0.0), (0.0, 4800.0, 0.0))

   points before matrix: ((-9600.0, -1600.0, 0), (-9600.0, 0.0, 0), (-8000.0, 0.0, 0), (-8000.0, -1600.0, 0))
   points after matrix: ((-1600.0, 6400.0, 0.0), (-1600.0, 8000.0, 0.0), (0.0, 8000.0, 0.0), (0.0, 6400.0, 0.0))

   points before matrix: ((-8000.0, -16000.0, 0), (-8000.0, -14400.0, 0), (-6400.0, -14400.0, 0), (-6400.0, -16000.0, 0))
   points after matrix: ((0.0, -8000.0, 0.0), (0.0, -6400.0, 0.0), (1600.0, -6400.0, 0.0), (1600.0, -8000.0, 0.0))

   points before matrix: ((-8000.0, -14400.0, 0), (-8000.0, -12800.0, 0), (-6400.0, -12800.0, 0), (-6400.0, -14400.0, 0))
   points after matrix: ((0.0, -6400.0, 0.0), (0.0, -4800.0, 0.0), (1600.0, -4800.0, 0.0), (1600.0, -6400.0, 0.0))

   points before matrix: ((-8000.0, -12800.0, 0), (-8000.0, -11200.0, 0), (-6400.0, -11200.0, 0), (-6400.0, -12800.0, 0))
   points after matrix: ((0.0, -4800.0, 0.0), (0.0, -3200.0, 0.0), (1600.0, -3200.0, 0.0), (1600.0, -4800.0, 0.0))

   points before matrix: ((-8000.0, -11200.0, 0), (-8000.0, -9600.0, 0), (-6400.0, -9600.0, 0), (-6400.0, -11200.0, 0))
   points after matrix: ((0.0, -3200.0, 0.0), (0.0, -1600.0, 0.0), (1600.0, -1600.0, 0.0), (1600.0, -3200.0, 0.0))

   points before matrix: ((-8000.0, -9600.0, 0), (-8000.0, -8000.0, 0), (-6400.0, -8000.0, 0), (-6400.0, -9600.0, 0))
   points after matrix: ((0.0, -1600.0, 0.0), (0.0, 0.0, 0.0), (1600.0, 0.0, 0.0), (1600.0, -1600.0, 0.0))

   points before matrix: ((-8000.0, -8000.0, 0), (-8000.0, -6400.0, 0), (-6400.0, -6400.0, 0), (-6400.0, -8000.0, 0))
   points after matrix: ((0.0, 0.0, 0.0), (0.0, 1600.0, 0.0), (1600.0, 1600.0, 0.0), (1600.0, 0.0, 0.0))

   points before matrix: ((-8000.0, -6400.0, 0), (-8000.0, -4800.0, 0), (-6400.0, -4800.0, 0), (-6400.0, -6400.0, 0))
   points after matrix: ((0.0, 1600.0, 0.0), (0.0, 3200.0, 0.0), (1600.0, 3200.0, 0.0), (1600.0, 1600.0, 0.0))

   points before matrix: ((-8000.0, -4800.0, 0), (-8000.0, -3200.0, 0), (-6400.0, -3200.0, 0), (-6400.0, -4800.0, 0))
   points after matrix: ((0.0, 3200.0, 0.0), (0.0, 4800.0, 0.0), (1600.0, 4800.0, 0.0), (1600.0, 3200.0, 0.0))

   points before matrix: ((-8000.0, -3200.0, 0), (-8000.0, -1600.0, 0), (-6400.0, -1600.0, 0), (-6400.0, -3200.0, 0))
   points after matrix: ((0.0, 4800.0, 0.0), (0.0, 6400.0, 0.0), (1600.0, 6400.0, 0.0), (1600.0, 4800.0, 0.0))

   points before matrix: ((-8000.0, -1600.0, 0), (-8000.0, 0.0, 0), (-6400.0, 0.0, 0), (-6400.0, -1600.0, 0))
   points after matrix: ((0.0, 6400.0, 0.0), (0.0, 8000.0, 0.0), (1600.0, 8000.0, 0.0), (1600.0, 6400.0, 0.0))
